Date (years),"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,HORIZ,DSIZE,RSIZE,LEV,Acq_size
2010,-0.090109,-0.043771,1,0,0,7.411509156791149,0.06696984596209449,0.204025,10.115021977957085
2015,0.0903539,0.1107796,1,1,1,8.54977305671582,0.05861568727200897,0.6130088,11.386525974052953
2009,0.2304038,0.2262295,1,0,1,4.005604419049677,0.35741254280097384,0.8142781,5.034469001347653
2008,-0.063948,-0.159751,1,0,1,1.6957990780821437,0.016020902707770623,0.1776899,5.829660068211937
2013,0.1136892,0.1672018,1,0,1,6.124685579075618,0.13344497523827323,0.4674372,8.138751635682885
2008,-0.147321,-0.25169,1,0,0,0.7848143690857692,0.029813394265817965,0.3393154,4.297611883531518
2006,-0.005797,0.0071702,1,1,0,7.3672753977597125,0.025397434331618684,0.5118393,11.040382518385464
2008,-0.008182,0.0276624,1,1,0,8.65016377681778,0.10763144416821971,0.4689392,10.87920621871705
2008,0.0366658,0.0503621,1,1,0,3.312766816282729,0.0005038108342500882,0.4598604,10.906076505498016
2013,0.0638137,0.0413478,0,1,1,5.043089576760976,0.20288799966479512,0.2159778,6.638190754747191
2010,-0.060998,-0.068173,1,0,1,3.975898807015619,0.09462062451955597,0.2420961,6.333778615525308
2013,0.2706244,0.3155609,0,0,1,7.144104056246346,0.2512058860686815,0.7928256,8.525586469106884
2014,0.0606593,0.0297979,1,0,1,7.048481973225823,0.11765587300185554,0.7144502,9.188473219012725
2014,-0.010886,0.002793,1,0,1,6.213401370618979,0.019974631984993576,0.3383926,10.126693581898545
2009,0.0131563,0.0995326,0,1,0,3.6435943898982517,0.016263202764859333,0.0700841,7.762444612148594
2006,-0.007528,-0.015171,1,1,1,6.353832505046544,0.006536952925990274,0.3582154,11.384116640588118
2006,-0.013435,0.0061373,0,1,0,5.547124765967747,0.01411798598246402,0.234403,9.807430458861074
2007,0.007992,0.0315756,1,0,1,5.303856994437312,0.011501769236800696,0.2044525,9.769111403205109
2007,-0.045159,-0.008364,1,0,0,2.1840267568699105,0.20760097232610322,0.3748854,3.7561642009195326
2009,-0.040511,-0.098139,1,1,1,6.357535460349116,0.012538756265405583,0.3808576,10.736466390432392
2006,-0.086538,-0.056449,1,1,0,7.309766429038785,0.05166738784666023,0.3826001,10.272694921544746
2012,-1.8e-05,0.0063484,0,1,1,5.5328715680685026,0.004616892870115848,0.5826067,10.910904907148716
2006,0.0111263,-0.199818,0,1,0,2.335149083867308,0.0015723208222396263,0.5160112,8.790351604270857
2006,0.0568139,0.0505411,0,1,1,7.273144641834566,0.2650439074524408,0.5160112,8.601004420055528
2006,-0.084282,-0.092003,1,0,1,4.2405638717230785,0.175948376112551,2.3455534,5.978128516235392
2007,0.0207363,-0.000365,1,0,1,3.5075074463555698,0.6858029639678527,0.1985232,3.8846723634053473
2007,-0.033452,-0.045833,0,0,1,4.901757488910389,0.02973561417042619,0.6256527,8.417167310149019
2007,-0.06604,-0.068904,1,1,0,6.785731137537243,0.4603744673945607,0.3422757,7.561446198649611
2007,-0.052472,-0.00068,1,0,0,5.645506966510445,0.15341670461198204,0.2340354,7.5201044667125085
2009,-0.068694,-0.024648,0,0,0,5.076472970965447,0.06539334253910241,0.4480858,7.8038077927041885
2007,-0.00584,0.002532,1,0,0,4.828265736150264,0.0519687540537574,0.6587531,7.785378360735453
2008,-0.11801,-0.197825,1,0,0,6.232552136866553,0.16325533811823717,0.6256527,8.044991949187015
2007,0.0182473,0.0188455,1,0,1,3.0220333479733616,0.008872328859936206,0.6587531,7.746851310423956
2006,-0.047935,-0.054134,0,1,0,2.6211842680805484,0.009554930078505785,0.3495374,7.271882287188351
2008,-0.130512,-0.133739,1,0,0,8.659841225887645,2.751300715996147,0.4590304,7.647767438397594
2013,0.0813217,0.0896574,0,1,0,6.670525480692854,0.11706234811805516,0.4309304,8.815574076914727
2006,0.0092127,0.003303,1,1,0,6.828307227798711,0.004681989527967763,0.3374539,12.19233937437252
2009,-0.004529,-0.009547,1,1,0,6.586676355058305,0.005121336314871183,0.4913937,11.861016230045061
2008,-0.018748,-0.047673,1,1,0,6.298627503925766,0.0032047659361416985,0.4786603,12.041743726047176
2010,-0.024788,-0.033882,1,1,0,5.75315342251908,0.001956122403762213,0.4337175,11.989944553236013
2008,0.0270584,-0.093278,1,0,0,5.532092204930907,0.001514000786265131,0.4786603,12.025091809568245
2011,0.0468356,0.0659942,1,0,0,9.563072131772826,0.08842994415229831,0.4501982,11.988616763714523
2008,0.0414775,0.0202852,1,1,1,7.184202981555372,0.38615754152670184,0.3598434,8.135712835668398
2008,0.0514245,0.0290662,1,1,1,6.9784010503438045,0.383268961207089,0.2379951,7.937419338023975
2009,0.0013172,-0.159425,1,1,0,2.6682693310903653,0.0549829882672444,1.0303075,5.569000776916371
2009,-0.118747,-0.062817,1,0,1,2.7420650796894876,0.04577660051442999,1.0303075,5.826047303906795
2008,-0.069098,-0.127265,1,0,0,4.234236930873991,0.23299525291881343,0.8039907,5.690974130236974
2016,-0.023872,-0.007332,1,1,0,2.419656764579883,0.012746219615481863,0.0667843,6.782177316669143
2006,-0.038093,-0.03336,0,0,0,3.508256453955563,0.07444733057602479,0.1783882,6.105919829708727
2008,0.0807767,0.0168667,1,1,0,2.9800601041596955,0.9669957271253867,0.0727269,3.013621306389731
2014,-0.015779,0.0138917,1,0,1,8.588520429481525,0.03202712324822411,0.5544554,12.029692563168238
2014,-0.003289,0.003551,1,1,1,6.717347516773058,0.005115925925146576,0.5153605,11.992744391199993
2009,-0.032185,-0.063926,1,0,1,10.39435400055287,0.505788281563751,0.5515036,11.075991113689806
2006,-0.01919,0.0016423,1,1,1,5.997255248586753,0.0044367692858577265,0.5007555,11.415084054302339
2012,-0.1014,-0.118879,0,0,0,5.057932280538414,1.9825651757349603,0.3990609,4.373540731023583
2008,-0.113075,-0.075745,0,0,0,1.8456161420187658,1.046265697290152,0.2001748,1.8003887959261093
2013,0.0229784,-0.00592,0,0,0,3.0122451819282046,0.06473910773188654,0.2141352,5.74963499483829
2012,0.0320962,0.0242106,1,0,1,2.05949390387014,0.0360106351225381,0.2988494,5.383434867953581
2013,-0.041821,-0.044204,0,0,0,8.704170062068757,0.5253075399185564,0.5050304,9.347941459646385
2013,0.0614333,0.0717598,1,1,0,2.2022121188472585,0.0008881414121438634,0.5090137,9.22859169858821
2016,-0.002087,0.0082325,1,1,1,8.016883744982756,0.01532913229106671,0.6111987,12.194883934700952
2007,-0.013583,-0.006444,1,0,0,4.369637707861067,0.000480645816681205,0.3890672,12.010017614812943
2008,0.0049303,0.0011154,1,1,0,3.942552210462969,0.0003301749690352883,0.435021,11.958440045280106
2015,0.0411782,0.0373251,1,1,1,9.25337725581714,0.050982539745792574,0.5768872,12.22964931861844
2011,0.0052105,-0.004443,1,1,1,2.8649399833039673,0.00010951420576738202,0.5356234,11.984396267390837
2010,0.0044874,0.0003793,1,1,1,7.750124728967166,0.016911631618589596,0.5453104,11.829878361308564
2009,-0.101717,-0.15541,1,0,1,10.781451902423639,0.41274430277903695,0.4143897,11.666378901780059
2015,0.0522723,0.1904804,0,1,0,1.309953127863168,0.007129020654154011,0.2608155,6.253534537511877
2013,0.1337261,0.1580094,1,1,1,7.294153089373048,0.34338392070906015,0.6731932,8.363059244782312
2012,-0.167077,-0.193089,1,0,0,5.023097319487304,0.19972595065796828,0.3307679,6.633906418278049
2012,-0.020327,-0.030037,1,0,1,3.4705057589274793,0.04444435229264463,0.6646138,6.584023141555499
2009,-0.104321,-0.172312,1,0,1,3.033942861317743,0.02968305598768051,0.1943905,6.551121762756694
2008,-0.081812,-0.145349,1,0,1,5.567909294567496,0.3732872270217955,0.3484168,6.553316404604
2008,-0.253282,-0.242731,1,1,0,7.551474792210684,0.6049091260959828,0.3848598,8.054151829243878
2006,-0.193625,-0.145295,1,0,0,6.304562141519887,0.33800702258211807,0.494447,7.389250748364669
2016,-0.075708,-0.078098,1,0,0,6.811054933344899,0.22193982824274452,0.3601279,8.316403911145407
2013,-0.010196,-0.015884,1,1,0,7.43201979495431,0.013167088079127743,0.4149602,11.76205468519996
2009,0.0016315,0.0012651,1,1,0,7.6264780967855526,0.15422550281431097,0.4322892,9.495817540412682
2009,0.0115548,-0.007226,0,1,0,7.781739581774688,0.019250898384362145,0.4322892,11.731937131794497
2007,0.0093729,0.0081279,1,1,0,7.758139514467092,0.014060429161159448,0.4251308,12.022530383979241
2010,-0.024262,-0.034149,1,1,0,6.387826681920806,0.022799202262024077,0.8166281,10.168856414062375
2009,-0.071987,-0.051075,1,1,0,7.622515701587592,0.07070609639534692,0.8461308,10.271739182313329
2012,0.0136131,-0.004473,1,1,0,7.585327293924662,0.09312529218542757,0.7838481,9.95913675865036
2009,0.0409401,-0.007991,1,1,1,6.969688221044862,0.04116116079092155,0.4174706,10.159948387541384
2007,-0.026109,-0.015794,1,1,0,3.5440848692107028,0.000847581825149708,0.4316241,10.617208043731699
2008,-0.00357,-0.015307,1,0,1,5.091539169320091,0.004947387617203487,0.4296387,10.400434765133147
2010,-0.00873,-0.027799,1,1,1,7.2944683277543,0.03435052339645725,0.3943412,10.665606351023836
2006,-0.047499,-0.06186,1,1,0,7.063430795654561,0.038040397967818086,0.2728634,10.332537375189363
2008,0.2238259,0.1903474,1,0,0,5.2106548685342045,0.47851046269888525,0.6954287,5.947732071242976
2015,0.0226292,0.0424877,1,1,1,3.4522073025699003,0.004846029947144964,0.5196252,8.78180277941102
2008,-0.047072,0.0218027,1,0,0,1.8081248233143192,0.011001796653462346,0.7753148,6.317821510702386
2014,0.0410213,0.0380507,1,1,0,6.637015537927259,1.4984716989286178,0.5908878,6.232569816598215
2009,0.0084381,-0.00599,1,1,0,7.806245721542729,0.021628212096756295,0.6260534,11.640002422471156
2010,-0.038504,-0.042266,1,1,0,6.395163095768426,0.005509150874358016,0.6222908,11.596507869748445
2010,-0.002376,-0.001729,1,1,0,6.788340913430404,0.009650601235045112,0.6430922,11.429075974852717
2015,0.0135528,-0.006751,1,1,0,7.514330985780838,0.027420664423446796,0.7332567,11.110789359578588
2008,-0.091685,-0.066125,1,1,0,9.052422254258651,0.07559490106051737,0.5716028,11.634788698619358
2006,0.0145706,0.0040015,1,1,0,8.030877074046808,0.03450607069003836,0.5199202,11.397497082441035
2007,0.0059709,0.0299034,1,1,0,6.895324333948089,0.008391724017922582,0.5625862,11.675833628706528
2010,-0.020386,-0.010238,1,1,0,6.838635613742912,0.007487191468204859,0.6312996,11.73319713638225
2016,0.0029157,0.0102524,1,1,1,5.317335372383798,0.00613649172396974,0.5897725,10.410837452967861
2015,0.0295338,0.0371564,0,0,0,5.628149750915771,0.11761390256567252,0.4108832,7.768497782324854
2007,0.0033676,0.0134669,1,0,0,4.5854673537122235,0.03249123672087341,0.4139372,8.012252219075638
2015,0.0640786,0.105346,1,1,0,6.446197483063895,0.23808158596911103,0.6522804,7.881339348926891
2015,-0.015801,-0.007815,1,1,0,5.37291450475482,0.0459749270340849,0.942498,8.45257360032592
2007,-0.018038,-0.017807,1,1,0,5.847770258182714,0.03271015904969171,0.8722523,9.267839833208413
2009,-0.059559,-0.054466,1,1,1,2.7987436797166323,0.15065125665015594,0.1891605,4.691531351636135
2009,-0.114769,-0.139541,0,0,1,3.4751601051725656,0.6119846923310094,0.3511379,3.966208114486226
2014,0.0316735,0.0185407,1,1,1,6.804329557069848,0.043422030209832964,0.3170327,9.941117915213754
2014,0.0408402,-0.032794,1,0,0,7.858271190158903,2.7594135252694834,0.9460022,6.843253023853613
2013,0.0246302,0.0371057,1,0,0,6.899493242158232,1.2283709938715959,0.8179569,6.693804345786718
2005,0.0389359,0.0502062,1,0,1,6.882953235404414,0.11322764059858295,0.4747118,9.061308203524165
2015,-0.037038,-0.028723,1,1,1,5.975690792991942,0.027096826318454947,0.6934485,9.58402946096645
2006,0.0906237,0.0982833,0,1,1,6.656133803567084,0.39410828792234,0.8761297,7.587263368571065
2007,-0.007626,0.0199472,1,1,1,6.602030070421317,0.1764733504730184,0.4210328,8.336615473251488
2015,-0.128583,-0.150023,1,0,1,9.34060860879419,0.6920623701510371,0.3927278,9.708687805944082
2009,-0.136792,-0.162307,1,0,0,8.383510930268775,0.5818833383992534,0.6936435,8.924996231097976
2007,-0.0003,0.010195,1,1,0,6.883157211922196,0.0613723012156685,0.6688931,9.673953877802582
2015,0.2273079,0.1863312,0,0,0,7.3969271431632935,0.38992900079684933,0.6127122,8.338717748833561
2012,0.0113856,-0.010955,1,1,0,5.261295434303321,0.00035205539331706505,0.3209085,13.21301746167242
2015,-0.003743,-0.043225,1,0,0,5.32160899822278,0.09805798130262738,1.043078,7.643805327542626
2015,0.1138518,0.0311761,1,1,0,4.061649179383958,0.08709568076215844,0.5264831,6.502397165149881
2008,0.0380615,0.0720082,1,1,1,5.077390107442857,0.17174293021681666,0.3505204,6.839146619390627
2015,-0.038378,-0.016418,1,1,0,5.504217094034401,0.6412122508943925,0.1529258,5.948611846265295
2008,0.018434,0.0602438,0,1,0,3.9726288035380044,0.11672602869152328,0.25679,6.120554528752535
2006,0.0038598,0.0258361,1,1,0,5.120714658454022,0.002717490569680504,0.5418627,11.02876106764772
2006,0.0192605,0.0457524,1,1,0,7.952992810275202,0.04912522072955757,0.5201367,10.966375525855462
2007,-0.028019,-0.030134,1,1,0,4.796732250813496,0.0028289612248439296,0.5558262,10.66457794388193
2006,-0.012208,-0.010614,1,1,0,3.6008129752454856,0.0006779153078932603,0.5418627,10.897301167683555
2012,0.0179348,-0.012737,0,1,0,4.801337118354098,0.008869484600666897,0.6696938,9.526475708602971
2015,-0.018761,-0.013629,0,1,0,4.03535506120008,0.22478013964560062,0.7445176,5.527987572837726
2007,-0.027404,-0.053659,1,0,0,5.031816056295462,0.382683085223299,0.0507453,5.9923641423508185
2007,-0.001665,0.0056348,1,1,1,5.153482327752122,0.06185688260730301,0.204447,7.93641423506817
2007,0.0019201,0.0026387,1,1,0,4.925004781456281,0.044013926928378355,0.1391166,8.048253955502885
2014,0.0451999,0.047742,1,1,1,7.499957735465565,0.11018932808477717,0.2522275,9.705512963754273
2009,-0.015582,-0.019993,1,0,1,5.025274285946397,0.10328392561972255,0.1855101,7.295547809626407
2015,0.1094313,0.110067,1,0,1,10.193409739057813,0.8911819189884332,0.6608395,10.308616437460946
2013,0.1495971,0.1352622,1,1,1,8.402360623844968,0.18607827124646328,0.1549048,10.083948504477899
2014,0.0020308,0.0049233,1,1,1,5.599717415828014,0.015223569678478321,0.1408336,9.784627831211699
2006,-0.055677,-0.066758,1,0,1,5.137244449893114,0.10288333933626148,0.3749457,7.411404010356513
2009,-0.15235,-0.015929,1,0,1,2.70082415601047,0.3678853754940712,0.2967534,3.70080802497921
2011,-0.027398,-0.034858,1,1,0,2.2900063107871858,0.029939212030257553,0.4364606,5.798592529418843
2014,0.0428376,0.0769935,0,1,1,5.601151563569241,0.21496457988938064,0.1348444,7.138433572696169
2016,-0.01192,0.0026065,1,1,0,5.302652954289862,0.009500089080036155,0.33923,9.959107057863555
2012,0.0001441,-0.014607,1,1,1,4.2577664172931975,0.03450987594380496,0.6036619,7.624276153961656
2014,0.1542798,0.1879264,1,0,1,7.150408865772106,0.7954561481791205,0.7364501,7.379248423349233
2009,-0.011961,0.0413185,0,0,1,0.41673470036639515,0.0178668174216192,0.2235868,4.44154476219829
2015,0.1871408,0.1776792,1,1,1,5.538082018878482,0.24024520719365167,0.2906137,6.964177199455193
2009,-0.058676,-0.065669,1,1,1,3.89071764960081,0.16940376768155718,0.1364114,5.666187905280821
2007,0.0147724,0.0256967,1,0,1,5.079589053707236,0.3301647043354816,0.0342329,6.187752698692931
2009,0.0017035,0.1244748,1,0,1,2.4110806891473446,0.0162442377843944,0.3947621,6.531097720121853
2008,-0.33075,-0.368057,1,1,0,5.618642073571794,0.8431052737877387,0.1436763,5.7893055224109204
2008,0.0022165,-0.023505,1,0,1,4.16682025054415,0.2889909284354351,0.3185549,5.40818023140328
2009,-0.007785,-0.019431,0,1,1,4.274079443119288,0.09561176940487284,0.1017321,6.621538798691966
2012,0.0160652,-0.019983,0,1,1,3.515626651579858,0.13045333085124125,0.1638726,5.552366385757964
2015,-0.02617,-0.027334,1,1,1,9.318593968636437,0.07026400210048532,0.3766385,11.974089641109568
2009,-0.030554,-0.032229,1,1,0,6.301381947204231,0.006191566435368767,0.1937921,11.385949112478247
2010,-0.021942,-0.063936,1,1,1,5.686626142829506,0.1602423275529949,0.1155406,7.517694205141482
2006,-0.005314,-0.008934,0,1,0,6.586239238777726,0.11652687868410991,0.5760171,8.735872553046946
2015,-0.005979,-0.060135,1,0,0,4.643688729601108,0.062298063447191084,0.3814361,7.419513667587714
2006,-0.14478,-0.142562,1,0,1,7.97446849243823,0.7532022877464557,0.3943382,8.257889937272816
2015,0.0974233,0.1180752,1,1,1,6.259963800142989,0.6488730914858971,0.1348535,6.692481926248255
2013,-0.064551,-0.095607,1,1,1,4.806975691854734,0.1619219271674878,0.2215652,6.627616682835477
2015,0.0614608,0.0281856,1,0,1,5.338600015647696,0.49431312361567115,0.2697571,6.043186124769157
2013,-0.009722,-0.008683,1,1,1,5.994975875173808,0.0514233936746998,0.3627908,8.962637955377032
2012,0.0289205,0.0031057,1,1,0,3.56716369542984,0.09315611856520217,0.1430093,5.940642194441548
2016,0.0345472,0.0014234,1,0,1,7.97971724833531,0.3052645637366049,0.6319967,9.166293704615931
2015,0.0206548,0.0149862,1,0,1,6.707914350279422,0.08216989839507692,0.5688873,9.206880593840136
2010,0.0018607,0.0266457,1,1,1,5.535825255016661,0.04850486507906757,0.3927522,8.561916430177554
2012,-0.010246,-0.019418,1,1,1,6.316397244324226,0.07973195831742992,0.354469,8.84548203522943
2014,-0.001637,0.0027488,1,1,1,5.674638553006467,0.032408585550755646,0.4816258,9.103970458158512
2006,-0.053822,-0.084818,1,0,1,6.275093416418653,0.05250109538719677,0.2604407,9.22201466150284
2011,0.0442234,0.0270452,1,1,0,2.7174723396811147,0.00821293980070251,0.455755,7.519516683689455
2010,0.0908587,0.0918008,1,1,1,6.1849774135971565,0.38338906958633007,0.1227867,7.143682371538645
2015,-0.037697,-0.017606,1,0,1,7.135871247314902,0.4122059430085697,0.512715,8.022103440165456
2006,0.0632766,0.0375422,0,0,0,5.167051976028984,0.12537778387759943,0.1108643,7.243475804567963
2013,0.0079689,-0.02934,1,1,0,5.340710925513722,0.08823457276674487,0.4742774,7.768467336805417
2015,0.0627688,0.066916,1,1,1,5.672236766490415,0.09822064537928706,0.458359,7.99277561413078
2010,0.0435918,0.0243715,1,1,1,4.890755060857546,0.09823637597301295,0.154107,7.211133765646806
2011,0.0232309,0.0402231,0,1,1,5.601746057685196,0.1574090914109171,0.4465023,7.450653242435188
2006,-0.002348,0.0013298,1,1,0,5.352080857486398,0.05862403639103025,0.2096386,8.188691346663955
2006,0.0266892,0.0573024,1,1,0,5.602650045068796,0.02336495750999442,0.2423638,9.359167966432429
2015,0.1593984,0.1785019,1,0,1,8.99615842030724,0.4117558000864013,0.8837952,9.883483243903635
2007,-0.053102,-0.047911,1,0,1,6.583319314936042,0.2736136984165312,1.0228002,7.879357342111226
2009,0.0024192,0.0098008,1,1,1,4.387436972366157,0.023210602877186726,0.5939945,8.150583056509728
2008,0.0074958,0.041147,1,0,1,4.207807167132902,0.017835538549193623,0.6534833,8.234369431561952
2012,-0.063564,-0.110018,1,0,1,4.598487909224169,0.4107392429768196,0.3964213,5.48828462036754
2007,0.0572933,-0.010111,1,0,1,6.508971798997684,0.5402153501149838,0.4886002,7.124759221410465
2014,0.1265198,0.1769951,1,0,1,7.233766561547198,1.0006789498812199,0.293291,7.233087842048176
2006,-0.012715,0.0201859,1,0,1,3.4963863419984853,0.09061822855589215,0.2767522,5.897486229980675
2011,-0.073419,-0.066366,1,1,1,5.399523765799619,0.04320590674594807,0.1205655,8.541301828648137
2007,-0.039033,-0.041253,0,0,0,5.76667589335449,0.2756086745724052,0.5634853,7.055449158466024
2014,-0.029191,-0.046182,1,0,1,5.411922799271227,0.3647733007733008,0.5502832,6.420402011401288
2008,0.0186167,0.0517419,1,1,1,3.7867318542814408,0.0691662171824237,0.1221104,6.4579745808494184
2012,0.1416264,0.1530367,1,1,1,5.417166500386418,0.5832407615999503,0.6507926,5.956321708112479
2014,0.0330719,0.0110897,1,1,0,5.729963410038845,0.023881171556034073,0.4664557,9.46462834156456
2009,0.0393624,0.0286447,1,1,1,7.041886616603664,0.16302045370015428,0.6321472,8.855766219828318
2007,0.0350629,0.0715475,1,1,0,5.629766293161382,0.08532446308712499,0.3483611,8.091060369932809
2011,0.0348478,0.0304713,1,1,1,8.263762067371768,0.12822288502664284,0.3800835,10.317747307450183
2012,0.0001983,-0.003437,1,1,0,5.419299723358714,0.0060370538451893566,0.4107353,10.529138883369823
2010,-0.013132,-0.021163,1,1,0,5.043334790259271,0.006249518642788392,0.3994703,10.118585625612928
2014,-0.018848,0.000753,0,1,0,7.481253120925239,0.03185499726556531,0.3428342,10.927814130178975
2015,0.0434323,0.0249904,1,1,0,9.267148496694283,0.1747653944234122,0.3515606,11.011459304460216
2007,-0.010134,0.0007218,1,1,0,7.779051992200289,0.0982929208893925,0.4421367,10.098855261989856
2006,-0.004227,0.002831,0,1,0,5.311929302367856,0.010220750279224138,0.50811,9.895264586429091
2012,-0.003614,-0.005009,1,0,0,5.966274936034322,0.010331719584336685,0.4333195,10.538811480652852
2006,0.0047561,0.0054543,1,1,0,5.700426850842839,0.00967316325880926,0.5329604,10.338826752982515
2009,-0.020918,-0.037051,1,1,0,6.674192636964025,0.027698603751879138,0.5665223,10.260565910092645
2015,0.0051625,-0.020546,0,0,0,4.330180555950271,0.001886747601394054,0.6095437,10.60308133404013
2007,0.0036944,-0.008778,1,1,0,4.6887481756431875,0.003121847950667928,0.5634856,10.458078336258794
2016,-0.091008,-0.143879,1,0,1,5.420999493148212,0.4752591166387459,0.1401773,6.164894608118348
2016,0.0403798,0.0051765,1,1,0,3.4925603876761278,0.02850655815615384,0.2894173,7.050181495112836
2009,0.0106167,0.0310332,1,1,0,4.361032798169646,0.21755902209805122,0.1618675,5.886317897468078
2006,0.0036918,-0.017535,1,1,0,6.159904785999938,0.04392735413001089,0.2064386,9.28512283803631
2008,0.0699814,0.0424423,0,1,0,6.016318122352926,0.054265228772510325,0.2672347,8.930189733606843
2007,0.0389537,0.0584374,1,1,0,3.829510583853682,0.004485200931448808,0.2007931,9.23648256755962
2016,-0.048703,-0.015559,1,1,0,6.3315641255345945,0.3088435299386472,0.0883231,7.5064846314734925
2011,-0.043685,-0.051814,1,1,1,5.859948265639645,0.13963655301499506,0.4559128,7.828660547486276
2007,-0.019214,-0.029577,1,1,0,5.127161243654598,0.051920358265197454,0.4091513,8.085205549933479
2008,-0.028556,-0.015676,1,1,1,5.701626819567037,0.18582543629752032,0.242266,7.384574380045939
2007,-0.028816,-0.058433,1,1,1,5.525891090141561,0.12499091599610956,0.2047601,7.605405306493261
2006,-0.028252,-0.012063,1,0,0,9.029894894244856,1.4101557103068771,0.322263,8.68619476311028
2016,0.031424,0.0317477,1,1,1,6.5942780196616315,0.013646674033383538,0.4932766,10.88853746726084
2010,0.0568236,0.0560481,1,1,0,7.462549748733515,0.08532789312077323,0.2851093,9.923803626427414
2013,0.0482375,0.0270458,1,0,0,9.076347615797003,0.3184333509808614,0.4365121,10.220689700751437
2010,0.0237413,0.0320503,0,1,0,2.82890998020696,0.004871496893834349,0.2787477,8.153263998926004
2007,0.0065991,-0.000681,1,1,1,6.454059550130916,0.29518970825623786,0.6543839,7.674196600625116
2006,-0.189377,-0.156268,1,1,0,6.2217147859911055,0.3283396601885407,0.0989988,7.335421443045151
2006,0.0259559,-0.016105,1,0,0,5.061702229533219,0.45822109467524325,0.1040858,5.842105701416785
2006,-0.010402,-0.017362,1,1,0,5.43777491477391,0.015726724748323158,0.427409,9.590168715255825
2008,-0.031436,-0.063286,1,0,0,3.164715265908765,0.0012573083503336125,0.5160753,9.843497338815315
2012,0.0149799,-0.003541,1,1,1,2.62358104447576,0.01697706095485346,0.4408541,6.699473246198581
2015,0.0041847,-0.005371,1,1,0,4.963124311425204,0.010790062822847595,0.702719,9.492253988832877
