SIC,HORIZ,"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,LEV,Acq_size,Deal Attitude,Deal Status,Percentage of Shares Acquired,Tar. Private,DSIZE,Date (years)
3559,0,0.0434688,-0.013941,1,0,0.4792461,1622.941,Friendly,Completed,100,Priv.,,2012
3559,0,0.0020378,0.0405176,1,1,0.152043,7150.463,Friendly,Completed,100,Sub.,,2013
3559,0,-0.065637,-0.064552,1,1,0.2520672,953.158,Friendly,Completed,100,Sub.,,2011
3559,0,-0.030591,-0.00246,0,0,0.1329215,3583.415,Friendly,Completed,100,Priv.,,2015
2670,0,-0.012305,-0.006152,0,0,0.5118532,58241.111,Friendly,Completed,80,Priv.,,2010
2670,0,-0.021435,-0.071362,0,0,0.5580789,41189.247,Friendly,Completed,100,Priv.,,2008
2670,0,-0.006872,-0.020435,1,0,0.4770571,55814.696,Friendly,Pending,.,Priv.,,2006
2670,0,0.0077572,-0.003332,0,0,0.5497896,61130.321,Friendly,Completed,100,Priv.,,2007
2670,0,0.0238756,0.0176041,0,0,0.5192543,57910.905,Friendly,Completed,100,Priv.,,2007
2670,0,0.0195442,0.024291,1,0,0.4575155,67874.349,Friendly,Completed,100,Priv.,,2011
2670,0,0.0144716,0.0354329,1,0,0.5495791,67564.181,Friendly,Completed,100,Sub.,,2007
2670,0,0.0034243,0.0049937,0,0,0.4994736,62335.043,Friendly,Completed,100,Sub.,,2010
2670,0,0.0019752,-0.005414,1,0,0.491556,60005.422,Friendly,Completed,100,Priv.,,2006
2670,0,0.0102287,0.0005355,1,1,0.4994736,59910.415,Friendly,Completed,100,Sub.,,2010
2670,0,-0.005536,0.0166296,0,0,0.5699943,52381.033,Friendly,Completed,10,Public,56.093,2009
2670,0,-0.009113,-0.016401,0,1,0.4994736,62192.416,Friendly,Completed,100,Priv.,,2010
2670,0,0.0088574,0.0065867,1,1,0.4578234,57560.374,Friendly,Withdrawn,.,Sub.,,2012
2670,0,0.0535994,0.0590289,1,0,0.5833265,40899.212,Friendly,Completed,100,Sub.,,2009
2670,0,-0.004781,0.0081917,1,0,0.5495791,68198.954,Friendly,Completed,100,Priv.,,2007
2670,0,8.8415e-06,-0.012788,1,1,0.4770571,55656.517,Friendly,Completed,100,Priv.,,2006
2670,0,-0.011495,-0.016075,1,0,0.5446921,101234.47,Friendly,Completed,100,Sub.,,2015
2670,0,0.0079763,0.0003338,1,1,0.493896,64016.182,Friendly,Completed,100,Public,574.753,2012
2670,0,-0.019249,-0.083128,1,0,0.5192543,57399.738,Friendly,Completed,100,Sub.,,2007
2670,0,-0.004515,-0.002736,1,0,0.498292,61657.926,Friendly,Completed,100,Priv.,,2012
2670,0,-0.020138,-0.02173,1,1,0.4994736,62335.072,Friendly,Completed,100,Public,821.779,2010
2670,0,0.0034223,0.0178694,1,0,0.4770571,51619.179,Friendly,Completed,100,Priv.,,2006
2670,0,0.0166783,0.0172993,0,0,0.5578521,55657.419,Friendly,Completed,100,Priv.,,2007
2670,0,0.0176721,-0.00762,0,0,0.5057098,53423.06,Friendly,Completed,100,Priv.,,2010
2670,0,-0.019613,-0.009451,1,0,0.5578521,61476.672,Friendly,Completed,100,Priv.,,2007
2670,0,0.0007537,0.028147,0,0,0.5354701,51011.544,Friendly,Pending,.,Priv.,,2008
2670,0,-0.000289,0.0046666,1,1,0.4808996,58965.247,Friendly,Completed,100,Sub.,,2012
2670,0,0.0192655,0.0281431,0,0,0.5418159,48146.459,Friendly,Completed,100,Sub.,,2008
2670,0,0.0502894,0.0600495,0,0,0.5580789,37599.74,Friendly,Completed,100,Priv.,,2008
2670,0,0.013798,0.0086971,1,0,0.5580789,43081.015,Friendly,Completed,100,Sub.,,2008
2670,0,0.0072231,-0.046857,0,0,0.4575155,64584.376,Friendly,Completed,100,Priv.,,2011
2670,0,0.0307876,0.0396884,0,0,0.5580789,37890.781,Friendly,Completed,100,Priv.,,2008
2670,0,0.0059006,0.0210889,1,0,0.4688619,62682.509,Friendly,Completed,100,Priv.,,2011
2670,0,0.0068748,0.0016229,1,0,0.5354701,56800.787,Friendly,Completed,100,Priv.,,2008
2670,0,-0.00712,0.000118,0,0,0.5324793,55772.931,Friendly,Completed,100,Priv.,,2009
2670,0,-0.012185,0.0218458,1,0,0.5192543,56633.944,Friendly,Completed,100,Priv.,,2007
2670,0,0.0009628,0.0099981,1,0,0.5797115,105298.62,Friendly,Completed,100,Priv.,,2015
2670,0,-0.017349,-0.034966,0,0,0.5057098,63227.746,Friendly,Completed,100,Priv.,,2010
2670,0,0.0101713,0.0115173,0,0,0.5354701,53687.874,Friendly,Completed,100,Priv.,,2008
2670,0,0.0297927,0.0285828,0,0,0.5354701,51110.18,Friendly,Completed,100,Priv.,,2008
2670,0,-0.005314,0.0064788,1,0,0.5497896,65131.709,Friendly,Completed,100,Priv.,,2007
2670,0,-0.00528,-0.018415,0,1,0.5118532,55180.659,Friendly,Completed,100,Sub.,,2010
2670,0,0.0160552,0.0040443,1,0,0.5418159,51990.906,Friendly,Completed,100,Sub.,,2008
2670,0,0.0153625,0.027765,0,0,0.5497896,65482.482,Friendly,Pending,.,Priv.,,2007
2670,0,-0.00439,-0.014034,1,0,0.4733744,62106.957,Friendly,Completed,100,Priv.,,2011
2670,0,0.0135278,0.0053116,1,0,0.4770571,51528.79,Friendly,Completed,100,Priv.,,2006
2670,0,0.0099582,0.0022432,1,0,0.4688619,65585.252,Friendly,Completed,100,Priv.,,2011
2670,0,0.004827,0.0307818,1,0,0.5192543,58438.015,Friendly,Completed,50,J.V.,,2007
2670,0,-0.003606,-0.004699,1,0,0.5418159,49201.934,Friendly,Completed,100,Priv.,,2008
2670,0,0.0075974,0.0002931,1,1,0.5797115,105248.08,Friendly,Completed,100,Sub.,,2015
2670,0,-0.006347,-0.006931,0,0,0.491556,65720.225,Friendly,Pending,.,Sub.,,2006
2670,0,-1.5e-05,-0.001175,1,0,0.5354701,55265.44,Friendly,Completed,100,Priv.,,2008
2670,0,-0.024248,-0.028599,0,0,0.5158048,58099.286,Friendly,Completed,13,Public,63.822,2006
2670,0,0.0258395,0.0215727,0,0,0.5578521,62960.321,Friendly,Completed,100,Priv.,,2007
2670,0,-0.000787,0.0090233,1,0,0.4994736,58384.307,Friendly,Completed,100,Priv.,,2010
2670,0,-0.096646,-0.085137,1,0,0.491556,60435.164,Friendly,Completed,100,Priv.,,2006
2670,0,0.0074192,0.0112443,0,0,0.491556,58052.764,Friendly,Completed,100,Priv.,,2006
2670,0,0.0112737,0.000146,1,0,0.5497896,64874.016,Friendly,Completed,100,Priv.,,2007
2670,0,-0.001859,0.0044373,1,0,0.4650373,86295.783,Friendly,Completed,100,Priv.,,2014
2670,0,-0.090048,-0.071729,0,0,0.5497896,65481.554,Friendly,Completed,100,Priv.,,2007
2670,0,-0.012992,-0.020228,1,0,0.5497896,62175.406,Friendly,Completed,100,Priv.,,2007
2670,0,0.0082275,-0.007697,1,0,0.4688619,65902.859,Friendly,Completed,100,Sub.,,2011
2670,0,0.0036287,-0.010263,1,1,0.5578521,60547.608,Friendly,Completed,100,Sub.,,2007
4899,0,0.0249714,0.0328531,1,0,0.6357942,68.393,Friendly,Pending,.,Sub.,,2008
4899,0,0.0517892,0.056136,1,0,0.3776009,232.698,Friendly,Completed,100,Priv.,,2011
4899,0,-0.010821,0.0312288,1,0,0.0791986,765.162,Friendly,Completed,100,Sub.,,2015
4899,0,-0.069883,-0.129319,0,1,0.1023978,783.588,Friendly,Completed,100,Priv.,,2013
4899,0,0.0868125,0.1350869,1,0,0.4033629,183.852,Friendly,Completed,100,Priv.,,2011
2821,0,0.0183435,0.0464075,1,1,0.6559354,1159.245,Friendly,Completed,100,Sub.,,2015
2821,1,-0.007713,-0.032602,0,1,0.6121523,1165.777,Friendly,Completed,100,Priv.,,2014
2821,0,0.0095959,0.0306992,0,0,0.5310305,630.195,Friendly,Completed,100,Priv.,,2007
2821,1,0.0328134,0.0389216,1,0,0.5656122,620.924,Friendly,Pending,.,Priv.,,2012
2821,0,0.039498,0.078929,0,1,0.5505803,622.48,Friendly,Completed,100,Sub.,,2012
2821,0,-0.011521,0.0022629,1,0,0.5815621,945.949,Unsolic.,Withdrawn,.,Public,452.707,2013
2821,0,0.0331446,0.0303797,1,1,0.6167519,1056.929,Friendly,Completed,100,Sub.,,2014
2821,0,0.0163821,-0.000259,1,0,0.5348262,440.997,Friendly,Completed,100,Public,104.154,2009
2821,0,0.0249806,0.0345583,1,1,0.5391418,577.637,Friendly,Completed,100,Priv.,,2010
2821,0,0.0149747,-0.004035,1,0,0.5719077,764.114,Friendly,Completed,100,Priv.,,2013
2821,1,-0.006093,0.0186301,1,0,0.6035816,993.824,Friendly,Completed,100,Priv.,,2014
2821,0,-0.009429,-0.009998,0,0,0.567504,764.92,Friendly,Completed,51,Sub.,,2011
3669,0,0.4251396,0.3988312,1,0,0.0535211,16.9,Friendly,Completed,100,Priv.,,2006
8060,0,-0.002857,0.02292,1,1,0.2943639,562.101,Friendly,Completed,100,Priv.,,2015
5080,0,-0.044377,-0.025055,0,0,0.5154402,877.59,Friendly,Completed,100,Priv.,,2011
5080,0,-0.014746,-0.034664,1,0,0.5336924,1114.029,Friendly,Completed,100,Priv.,,2008
5080,0,0.0351087,0.0292517,1,0,0.4499706,885.024,Friendly,Completed,100,Sub.,,2010
5080,0,-0.014805,-0.013867,1,0,0.5353401,1066.769,Friendly,Completed,100,Priv.,,2007
5080,0,-0.011048,0.0086386,1,0,0.545033,1072.9,Friendly,Completed,100,Priv.,,2014
5080,0,-0.026758,0.0070469,1,0,0.5492138,994.665,Friendly,Completed,100,Priv.,,2007
5080,0,0.004514,0.0110178,1,0,0.5270275,1227.189,Friendly,Completed,100,Priv.,,2007
5080,0,0.0514756,0.0634994,0,0,0.5154402,676.502,Friendly,Completed,100,Sub.,,2011
3841,1,0.0240737,0.0298612,0,1,0.1803931,918.319,Friendly,Completed,100,Priv.,,2014
3841,0,0.0669382,0.0910346,1,1,0.1214475,397.44,Friendly,Completed,19.9,Public,27.042,2007
7340,0,-0.010968,-0.020792,1,1,0.562513,1012.991,Friendly,Completed,100,Priv.,,2012
7340,0,0.0386517,0.0360779,1,0,0.562513,1028.718,Friendly,Completed,100,Priv.,,2012
7340,0,-0.027723,-0.016679,1,0,0.5842481,888.984,Friendly,Completed,100,Sub.,,2009
7340,0,0.0027064,0.0024172,0,0,0.5601421,1481.207,Friendly,Completed,100,Priv.,,2014
7340,0,0.126015,0.1364564,1,1,0.4316393,1008.027,Friendly,Completed,100,Public,50.928,2007
7340,0,0.0058891,0.0043448,1,1,0.4594694,998.256,Friendly,Completed,50,Sub.,,2008
7340,0,-0.016389,-0.074195,1,1,0.5228002,1220.903,Friendly,Completed,100,Priv.,,2010
4512,1,0.0117288,-0.021438,1,0,0.8076582,427.766,Friendly,Completed,100,Priv.,,2007
2780,0,0.2912385,0.3226274,1,0,1.0310388,301.62,Friendly,Completed,100,Sub.,,2011
7370,0,-0.003393,0.0024309,0,0,0.6067679,698.496,Friendly,Completed,49,J.V.,,2010
