,Date (years),"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,HORIZ,DSIZE,RSIZE,LEV,Acq_size
count,452.0,452.0,452.0,452.0,452.0,452.0,452.0,452.0,452.0,452.0
mean,2010.1946902654868,-0.0033614648230088488,-0.004979410840707965,0.827433628318584,0.5951327433628318,0.41150442477876104,5.525210842062011,0.4511452641400703,0.46880302522123896,8.463896705884842
std,3.0736947211236423,0.07205770678390935,0.08271803062680616,0.3782906560024119,0.4914102337323141,0.4926514916447993,1.9992606266835815,5.439937820538019,0.25600780313806204,2.287800679845027
min,2005.0,-0.33075,-0.368057,0.0,0.0,0.0,-3.1941832122778293,1.0929448278785167e-05,0.0342329,0.5641767992629853
25%,2008.0,-0.02884975,-0.0329355,1.0,0.0,0.0,4.190055666188148,0.015947358217908755,0.301690575,6.740203417379503
50%,2010.0,-0.002362,-0.003933000000000001,1.0,1.0,0.0,5.6021980513769964,0.06830481752603138,0.45539675,8.337666611042525
75%,2013.0,0.02381245,0.027443925,1.0,1.0,1.0,6.901907507988684,0.2204009856183749,0.59469675,10.280309552237147
max,2016.0,0.2706244,0.3155609,1.0,1.0,1.0,10.781451902423639,115.63083048919226,2.7581849,13.21301746167242
