Date,High,Low,Open,Close,Volume,Adj Close
02/01/2019,39.71250153,38.55749893,38.72249985,39.47999954,148158800,38.50502396
03/01/2019,36.43000031,35.5,35.99499893,35.54750061,365248800,34.66963959
04/01/2019,37.13750076,35.95000076,36.13249969,37.06499863,234428400,36.14966202
07/01/2019,37.20750046,36.47499847,37.17499924,36.98249817,219111200,36.06920242
08/01/2019,37.95500183,37.13000107,37.38999939,37.6875,164101200,36.75679398
09/01/2019,38.63249969,37.40750122,37.82249832,38.32749939,180396400,37.38098526
10/01/2019,38.49250031,37.71500015,38.125,38.45000076,143122800,37.50046539
11/01/2019,38.42499924,37.87749863,38.22000122,38.07249832,108092800,37.13228989
14/01/2019,37.81750107,37.30500031,37.71250153,37.5,129756800,36.5739212
15/01/2019,38.34749985,37.51250076,37.56750107,38.26750183,114843600,37.32247162
16/01/2019,38.97000122,38.25,38.27000046,38.73500061,122278800,37.77842331
17/01/2019,39.41500092,38.31499863,38.54999924,38.96500015,119284800,38.00273895
18/01/2019,39.47000122,38.99499893,39.375,39.20500183,135004000,38.23681259
22/01/2019,39.18249893,38.15499878,39.10250092,38.32500076,121576000,37.3785553
23/01/2019,38.78499985,37.92499924,38.53749847,38.47999954,92522400,37.52972412
24/01/2019,38.61999893,37.93500137,38.52750015,38.17499924,101766000,37.23225403
25/01/2019,39.53250122,38.58000183,38.86999893,39.43999863,134142000,38.46600723
28/01/2019,39.08250046,38.41500092,38.94749832,39.07500076,104768400,38.11002731
29/01/2019,39.53250122,38.52750015,39.0625,38.66999817,166348800,37.71503067
30/01/2019,41.53749847,40.05749893,40.8125,41.3125,244439200,40.29226685
31/01/2019,42.25,41.13999939,41.52750015,41.61000061,162958400,40.58242798
01/02/2019,42.24499893,41.48249817,41.74000168,41.63000107,130672400,40.60193634
04/02/2019,42.91500092,41.81999969,41.85250092,42.8125,125982000,41.75522614
05/02/2019,43.77000046,43.08750153,43.21500015,43.54499817,144406400,42.46964264
06/02/2019,43.89250183,43.21250153,43.66249847,43.56000137,112958400,42.48426819
07/02/2019,43.48500061,42.58499908,43.09999847,42.73500061,126966800,41.67964554
08/02/2019,42.66500092,42.10499954,42.24750137,42.60250092,95280000,41.72861481
11/02/2019,42.80250168,42.3125,42.76250076,42.35749817,83973600,41.48863983
12/02/2019,42.75,42.42499924,42.52500153,42.72249985,89134000,41.84616089
13/02/2019,43.11999893,42.47999954,42.84749985,42.54499817,89960800,41.67229462
14/02/2019,42.81499863,42.34500122,42.42750168,42.70000076,87342800,41.82411957
15/02/2019,42.92499924,42.4375,42.8125,42.60499954,98507200,41.73106003
19/02/2019,42.86000061,42.37250137,42.42750168,42.73249817,75891200,41.85595322
20/02/2019,43.33000183,42.74750137,42.79750061,43.00749969,104457600,42.12531281
21/02/2019,43.09249878,42.57500076,42.95000076,42.76499939,68998800,41.88778305
22/02/2019,43.25,42.84500122,42.89500046,43.24250031,75652800,42.35549545
25/02/2019,43.96749878,43.48749924,43.54000092,43.55749893,87493600,42.66402817
26/02/2019,43.82500076,43.29249954,43.42750168,43.58250046,68280800,42.68851089
27/02/2019,43.75,43.18249893,43.30250168,43.71749878,111341600,42.82074738
28/02/2019,43.72750092,43.22999954,43.58000183,43.28749847,112861600,42.39957047
01/03/2019,43.78749847,43.22249985,43.56999969,43.74250031,103544800,42.84523392
04/03/2019,44.4375,43.49250031,43.92250061,43.96250153,109744800,43.06071854
05/03/2019,44,43.63499832,43.98500061,43.88249969,78949600,42.98235703
06/03/2019,43.87250137,43.48500061,43.66749954,43.63000107,83241600,42.73504257
07/03/2019,43.61000061,43.00500107,43.46749878,43.125,99185600,42.24039841
08/03/2019,43.26750183,42.375,42.58000183,43.22750092,95997600,42.34079742
11/03/2019,44.77999878,43.83750153,43.87250137,44.72499847,128044000,43.80757904
12/03/2019,45.66749954,44.84249878,45,45.22750092,129870400,44.29977417
13/03/2019,45.82500076,45.22999954,45.5625,45.42750168,124130000,44.4956665
14/03/2019,46.02500153,45.63999939,45.97499847,45.93249893,94318000,44.99030304
15/03/2019,46.83250046,45.93500137,46.21250153,46.52999878,156171600,45.57555008
18/03/2019,47.09749985,46.44749832,46.45000076,47.00500107,104879200,46.04081726
19/03/2019,47.24750137,46.47999954,47.08750153,46.63249969,126585600,45.67595291
20/03/2019,47.37250137,46.18249893,46.55749893,47.04000092,124140800,46.07509613
21/03/2019,49.08250046,47.45249939,47.50500107,48.77249908,204136800,47.77205658
22/03/2019,49.42250061,47.69499969,48.83499908,47.76250076,169630800,46.78277206
25/03/2019,47.99499893,46.65000153,47.87749863,47.18500137,175381200,46.21711349
26/03/2019,48.22000122,46.14500046,47.91500092,46.69749832,199202000,45.73962021
